Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Fukuoka SoftBank Hawks,2025-10-16 05:00:00,Caesars,2.0,2025-10-16 05:11:53,2025-10-16 09:00:00,2025-10-16 09:11:53,1.9,5.13,Fukuoka SoftBank Hawks
New Orleans Pelicans @ Orlando Magic,NBA Preseason,New Orleans Pelicans,2025-10-16 19:00:00,BetMGM,3.6,2025-10-16 18:37:05,2025-10-16 23:00:00,2025-10-16 22:37:05,3.44,4.52,Orlando Magic
Washington Wizards @ Detroit Pistons,NBA Preseason,Washington Wizards,2025-10-16 19:10:00,DraftKings,2.9,2025-10-16 19:09:19,2025-10-16 23:10:00,2025-10-16 23:09:19,2.81,3.37,Detroit Pistons
Florida Panthers @ New Jersey Devils,NHL,New Jersey Devils,2025-10-16 19:11:50,Caesars,2.45,2025-10-16 19:35:20,2025-10-16 23:11:50,2025-10-16 23:35:20,1.7,44.26,New Jersey Devils
Seattle Kraken @ Ottawa Senators,NHL,Seattle Kraken,2025-10-16 19:08:45,DraftKings,3.5,2025-10-16 19:35:20,2025-10-16 23:08:45,2025-10-16 23:35:20,2.43,43.91,Ottawa Senators
New York Rangers @ Toronto Maple Leafs,NHL,New York Rangers,2025-10-16 19:08:03,FanDuel,3.3,2025-10-16 19:35:20,2025-10-16 23:08:03,2025-10-16 23:35:20,2.38,38.55,Toronto Maple Leafs
Nashville Predators @ Montréal Canadiens,NHL,Nashville Predators,2025-10-16 19:08:17,Caesars,2.35,2025-10-16 19:35:20,2025-10-16 23:08:17,2025-10-16 23:35:20,2.28,2.96,Montreal Canadiens
Vancouver Canucks @ Dallas Stars,NHL,Vancouver Canucks,2025-10-16 20:08:20,DraftKings,7.0,2025-10-16 20:45:00,2025-10-17 00:08:20,2025-10-17 00:45:00,3.67,90.64,Vancouver Canucks
Winnipeg Jets @ Philadelphia Flyers,NHL,Philadelphia Flyers,2025-10-16 19:16:05,Fanatics,11.0,2025-10-16 20:45:00,2025-10-16 23:16:05,2025-10-17 00:45:00,7.41,48.36,Winnipeg Jets
Colorado Avalanche @ Columbus Blue Jackets,NHL,Columbus Blue Jackets,2025-10-16 19:12:49,DraftKings,4.5,2025-10-16 20:45:00,2025-10-16 23:12:49,2025-10-17 00:45:00,4.06,10.97,Colorado Avalanche
Toronto Blue Jays @ Seattle Mariners,MLB,Toronto Blue Jays,2025-10-16 20:34:00,FanDuel,2.62,2025-10-16 20:45:00,2025-10-17 00:34:00,2025-10-17 00:45:00,2.39,9.83,Toronto Blue Jays
Edmonton Oilers @ New York Islanders,NHL,New York Islanders,2025-10-16 19:38:08,FanDuel,4.3,2025-10-16 20:56:25,2025-10-16 23:38:08,2025-10-17 00:56:25,2.36,82.09,New York Islanders
Pittsburgh Steelers @ Cincinnati Bengals,NFL,Cincinnati Bengals,2025-10-16 20:16:01,DraftKings,6.2,2025-10-16 20:56:25,2025-10-17 00:16:01,2025-10-17 00:56:25,4.17,48.57,Cincinnati Bengals
Pittsburgh Penguins @ Los Angeles Kings,NHL,Pittsburgh Penguins,2025-10-16 22:08:46,FanDuel,4.2,2025-10-16 22:18:36,2025-10-17 02:08:46,2025-10-17 02:18:36,2.82,48.87,Pittsburgh Penguins
Carolina Hurricanes @ Anaheim Ducks,NHL,Anaheim Ducks,2025-10-16 22:08:13,FanDuel,4.9,2025-10-16 23:47:32,2025-10-17 02:08:13,2025-10-17 03:47:32,4.46,9.98,Carolina Hurricanes
Boston Bruins @ Vegas Golden Knights,NHL,Boston Bruins,2025-10-16 22:08:40,DraftKings,16.0,2025-10-17 00:12:28,2025-10-17 02:08:40,2025-10-17 04:12:28,14.9,7.35,Vegas Golden Knights
