ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
069de5e9ea7f11e2b6dde84fec234c26,basketball_ncaab,NCAAB,2026-03-01T18:00:00Z,2026-03-01T18:34:44Z,Quinnipiac Bobcats @ Canisius Golden Griffins,Canisius Golden Griffins,2026-03-01,Kalshi,1.92,1.79,0.07,2.0,Not Found
bb4195b038cce802d282f17ff4ca7471,basketball_nba,NBA,2026-03-01T18:10:00Z,2026-03-01T19:00:35Z,San Antonio Spurs @ New York Knicks,San Antonio Spurs,2026-03-01,Kalshi,4.0,3.77,0.06,2.0,Not Found
974c5a1d9e803ee972980141fd3b8867,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:31:07Z,Saint Peter's Peacocks @ Marist Red Foxes,Saint Peter's Peacocks,2026-03-01,Kalshi,7.14,6.36,0.12,2.0,Not Found
85fb38a9d32c4060ba8411667bee81fa,basketball_ncaab,NCAAB,2026-03-01T19:02:44Z,2026-03-01T19:31:07Z,Mt. St. Mary's Mountaineers @ Fairfield Stags,Fairfield Stags,2026-03-01,Kalshi,5.26,4.83,0.09,2.0,Not Found
7b3de2cf6175e85d251f48b501b0e157,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:31:07Z,Iona Gaels @ Manhattan Jaspers,Manhattan Jaspers,2026-03-01,Kalshi,2.56,2.37,0.08,2.0,Not Found
fb7c888bee5725ed92db27a53a7b2315,basketball_wncaab,WNCAAB,2026-03-01T19:00:00Z,2026-03-01T19:31:07Z,Auburn Tigers @ Arkansas Razorbacks,Arkansas Razorbacks,2026-03-01,Kalshi,1.19,1.16,0.03,2.0,Not Found
8b33c975c44f4ea2985e67ce72cfa3c6,basketball_ncaab,NCAAB,2026-03-01T18:36:40Z,2026-03-01T19:47:30Z,Purdue Boilermakers @ Ohio State Buckeyes,Purdue Boilermakers,2026-03-01,Kalshi,3.33,3.0,0.11,2.0,Not Found
805d7efd32e359a3926b43dee552c496,basketball_ncaab,NCAAB,2026-03-01T19:02:59Z,2026-03-01T19:47:30Z,Memphis Tigers @ East Carolina Pirates,Memphis Tigers,2026-03-01,Kalshi,6.67,6.12,0.09,2.0,Not Found
10935867f3fe679568e240cff51e9e10,basketball_wncaab,WNCAAB,2026-03-01T19:02:00Z,2026-03-01T19:47:30Z,Vanderbilt Commodores @ Tennessee Volunteers,Tennessee Volunteers,2026-03-01,Kalshi,1.82,1.68,0.08,2.0,Not Found
618fb552dd512ab869c74edc002a5613,basketball_ncaab,NCAAB,2026-03-01T19:02:43Z,2026-03-01T19:47:30Z,Charlotte 49ers @ Florida Atlantic Owls,Charlotte 49ers,2026-03-01,Kalshi,1.89,1.8,0.05,2.0,Not Found
ed79c7f0be6c42f5aff49ca98ac37b75,basketball_wncaab,WNCAAB,2026-03-01T19:00:00Z,2026-03-01T19:58:50Z,Iowa State Cyclones @ Kansas St Wildcats,Iowa State Cyclones,2026-03-01,Kalshi,2.13,2.01,0.06,2.0,Not Found
048fc4fcf5a6d5f315c0313ea752c931,basketball_ncaab,NCAAB,2026-03-01T19:10:20Z,2026-03-01T20:38:25Z,Murray St Racers @ Bradley Braves,Murray St Racers,2026-03-01,Kalshi,3.03,2.77,0.1,2.0,Not Found
645c655ce68499ecb9e38c81cfacfaa8,basketball_ncaab,NCAAB,2026-03-01T19:02:21Z,2026-03-01T20:38:25Z,Rice Owls @ Temple Owls,Rice Owls,2026-03-01,Kalshi,2.27,2.08,0.09,2.0,Not Found
07bb629471c74641c19f79b454c5ca5f,basketball_wncaab,WNCAAB,2026-03-01T19:02:25Z,2026-03-01T20:38:25Z,DePaul Blue Demons @ Georgetown Hoyas,DePaul Blue Demons,2026-03-01,Kalshi,3.12,2.96,0.05,2.0,Not Found
9d66000724539fda0404eb160d1eb8d3,basketball_ncaab,NCAAB,2026-03-01T20:02:27Z,2026-03-01T20:57:04Z,Northern Iowa Panthers @ Drake Bulldogs,Drake Bulldogs,2026-03-01,Kalshi,20.0,18.08,0.11,2.0,Not Found
0906ad39e4817298cf460daa70cb0dfd,basketball_ncaab,NCAAB,2026-03-01T20:45:00Z,2026-03-01T20:57:04Z,Michigan St Spartans @ Indiana Hoosiers,Indiana Hoosiers,2026-03-01,Kalshi,2.56,2.48,0.03,2.0,Not Found
47e7b1a88a52badbb6d5d847b9dfb0fe,basketball_wncaab,WNCAAB,2026-03-01T21:00:00Z,2026-03-01T20:57:04Z,Notre Dame Fighting Irish @ Louisville Cardinals,Louisville Cardinals,2026-03-01,Kalshi,1.32,1.28,0.03,2.0,Not Found
13582c2646795885c1357ccdf158193f,basketball_wncaab,WNCAAB,2026-03-01T20:01:24Z,2026-03-01T21:33:17Z,Purdue Boilermakers @ Northwestern Wildcats,Northwestern Wildcats,2026-03-01,Kalshi,3.7,2.96,0.25,2.0,Not Found
8b02e0247a4769b86eda6571cb6e8e53,basketball_wncaab,WNCAAB,2026-03-01T21:00:00Z,2026-03-01T21:33:17Z,Florida St Seminoles @ Wake Forest Demon Deacons,Florida St Seminoles,2026-03-01,Kalshi,1.67,1.53,0.09,2.0,Not Found
